LFQ	59	0	0	0	15	25	20	24	17	26	38	37	47	44	23	65	47	54	71	75	75	72	128	85	158	50	177	168	134	169	222	184	236	150	411	213	352	400	235	315	488	501	591	862	1192	1008	0	0	0
LFQ	60	0	0	0	12	30	27	34	11	34	32	29	46	45	30	67	66	67	83	86	85	65	112	110	162	54	189	177	129	179	220	195	200	152	351	207	397	406	232	330	510	532	529	849	1125	1008	0	0	0
LFQ	61	0	0	0	11	23	29	29	26	36	34	40	48	40	30	57	51	55	83	104	80	72	118	71	164	53	217	156	145	163	240	164	220	167	393	240	336	362	250	347	513	495	558	796	1182	1006	0	0	0
LFQ	62	0	0	0	16	29	29	30	14	41	38	33	48	38	21	59	71	50	75	126	63	74	112	104	137	55	196	169	124	182	252	143	203	160	367	207	351	408	238	305	487	534	543	873	1180	1019	0	0	0
LFQ	63	0	0	0	19	32	22	27	24	40	30	25	45	56	27	64	50	65	74	120	73	78	118	92	135	69	181	133	150	180	271	129	204	168	380	240	344	425	238	329	487	552	480	819	1150	1059	0	0	0
LFQ	64	1	0	0	15	30	16	33	22	31	40	46	55	42	31	58	68	70	76	112	67	80	112	98	178	68	202	136	130	183	238	141	226	146	367	250	347	390	242	341	517	507	485	836	1148	1023	0	0	0
LFQ	65	0	0	0	16	32	24	33	25	40	34	27	44	54	24	53	49	61	73	107	60	77	105	72	157	67	208	153	133	222	254	130	241	173	356	226	340	410	230	318	490	555	523	879	1137	992	0	0	0
LFQ	66	1	0	0	15	38	34	23	22	45	24	33	45	36	26	51	59	54	71	109	71	68	106	95	166	82	199	138	136	181	260	123	205	147	409	279	343	387	239	311	477	535	509	854	1175	1023	0	0	0
LFQ	67	1	0	0	14	37	32	40	22	42	28	28	47	40	22	74	73	48	68	112	60	66	96	94	187	85	217	172	131	215	251	109	225	154	345	257	338	390	223	327	462	513	492	853	1238	976	0	0	0
LFQ	68	0	0	0	18	32	21	25	28	39	32	38	38	42	27	57	52	57	75	140	75	63	130	76	152	80	199	145	151	203	279	125	221	152	380	237	324	392	220	335	498	566	527	825	1105	1023	0	0	0
LFQ	69	0	0	0	12	37	30	31	24	46	32	41	47	42	36	58	40	54	81	112	56	82	117	88	146	81	204	172	134	194	292	110	226	158	343	258	337	419	179	309	455	562	516	839	1162	1042	0	0	0
LFQ	70	0	0	0	22	43	33	19	20	45	34	44	56	39	29	60	51	75	99	132	64	68	122	85	154	92	177	159	133	182	274	120	238	167	355	293	347	379	213	318	506	527	523	832	1114	961	0	0	0
LFQ	71	0	0	0	15	31	31	38	28	36	26	37	37	56	36	58	58	45	81	113	74	76	134	81	160	86	183	147	143	162	286	114	205	177	371	276	375	371	216	326	494	494	495	842	1154	1036	0	0	0
LFQ	72	0	0	0	12	26	43	39	25	41	28	31	47	31	27	53	79	56	90	124	77	64	128	68	154	114	173	144	139	222	280	124	219	163	347	242	338	386	217	333	486	486	509	852	1154	1033	0	0	0
LFQ	73	0	0	0	25	31	27	21	22	46	24	48	45	38	35	52	59	60	71	132	66	75	121	75	161	97	163	136	130	184	289	113	230	163	354	303	324	399	200	309	522	515	515	829	1176	1019	0	0	0
LFQ	74	0	0	1	14	28	32	32	18	40	38	40	36	42	34	46	67	58	76	125	60	61	133	63	184	124	173	168	155	169	289	115	241	176	360	279	349	381	181	326	486	490	525	838	1096	1055	0	0	0
LFQ	75	6	0	0	8	38	39	24	24	45	35	34	46	32	34	49	43	64	90	108	65	81	120	78	173	115	154	173	141	163	283	100	253	188	362	307	359	363	169	310	516	505	480	838	1153	1036	0	0	0
LFQ	76	0	0	0	21	26	28	46	27	37	26	42	45	43	34	58	80	68	81	117	83	61	121	81	161	108	158	143	140	184	308	103	252	188	349	259	360	378	176	303	499	463	477	870	1193	1007	0	0	0
LFQ	77	0	0	0	22	36	28	33	20	34	38	52	46	35	46	66	51	62	73	124	78	81	140	61	185	130	139	183	148	176	276	110	234	168	380	313	323	370	168	306	483	504	448	874	1118	1042	0	0	0
LFQ	78	0	0	1	23	30	24	27	26	50	31	35	37	42	41	68	52	70	90	111	79	102	115	51	171	120	127	179	150	162	308	113	227	197	353	278	357	372	152	296	492	521	485	903	1131	1005	0	0	0
LFQ	79	0	0	0	16	27	25	44	33	44	25	53	33	59	33	54	68	53	85	112	71	70	151	79	181	126	144	144	153	180	310	93	226	189	372	308	368	360	169	310	440	477	450	889	1146	1034	0	0	0
LFQ	80	0	0	0	23	30	29	34	22	48	29	54	46	50	41	66	50	48	74	127	65	75	131	53	161	124	158	190	156	169	302	91	249	172	356	275	359	375	174	312	502	482	459	860	1140	1043	0	0	0
LFQ	81	0	0	0	22	32	24	38	26	37	28	48	40	34	45	57	62	53	81	121	68	68	144	57	176	123	133	162	148	161	317	94	295	152	419	301	308	393	173	298	518	484	447	853	1168	996	0	0	0
LFQ	82	0	0	0	16	29	36	30	26	37	26	51	59	53	36	57	73	75	79	138	68	87	146	56	146	140	149	185	150	191	290	117	263	129	346	280	319	353	154	341	552	480	477	855	1109	1000	0	0	0
LFQ	83	0	0	0	30	27	31	35	25	43	42	45	54	42	31	68	77	52	76	129	79	86	136	48	162	138	131	158	142	163	306	104	294	138	392	286	309	405	212	313	523	434	439	871	1135	993	0	0	0
LFQ	84	0	0	1	28	32	32	37	24	45	30	46	47	43	38	65	59	42	71	122	74	89	133	53	145	148	139	178	177	174	293	107	290	134	365	244	320	357	173	278	561	451	495	899	1129	1036	0	0	0
LFQ	85	0	0	1	18	34	40	44	30	43	27	56	44	49	47	63	62	61	90	130	80	90	127	40	179	154	115	170	179	180	294	106	280	111	379	293	317	408	162	273	550	436	485	800	1099	1058	0	0	0
LFQ	86	1	0	0	30	30	31	32	29	43	21	60	45	54	44	50	74	53	87	114	75	78	159	32	177	159	120	193	155	194	288	91	282	145	386	273	281	418	199	317	534	454	438	909	1101	948	0	0	0
LFQ	87	1	0	0	23	37	35	27	25	54	36	51	45	58	36	65	58	57	95	144	82	78	127	59	189	152	142	200	162	183	301	96	279	135	373	219	310	373	189	314	554	457	471	806	1057	1049	0	0	0
LFQ	88	0	0	0	18	44	38	38	30	38	29	38	54	54	48	58	64	76	88	134	78	72	145	59	202	168	139	196	151	172	327	100	308	134	385	282	270	386	207	289	547	417	451	806	1072	992	0	0	0
LFQ	89	0	0	0	20	40	29	38	24	47	33	60	54	47	48	74	62	52	100	117	84	87	167	33	151	172	127	189	162	149	294	106	297	121	395	275	272	411	199	283	580	414	449	932	1069	941	0	0	0
LFQ	90	0	0	2	19	44	39	36	29	49	40	66	56	42	36	70	55	58	98	124	78	74	125	42	172	167	129	191	149	165	310	109	275	119	425	290	234	415	185	279	538	427	431	878	1113	1021	0	0	0
LFQ	91	1	0	2	21	46	29	30	20	36	29	61	55	57	45	57	59	68	104	142	84	88	132	27	178	155	128	170	149	170	347	96	296	128	404	280	219	447	194	295	527	441	449	891	1077	970	0	0	0
LFQ	92	0	0	2	24	34	31	34	25	47	27	60	55	50	42	73	91	58	98	135	72	90	119	45	155	147	138	185	135	142	280	94	305	149	431	305	230	445	158	310	544	420	446	880	1064	1029	0	0	0
LFQ	93	0	0	1	20	50	35	43	29	51	37	45	51	48	39	70	72	60	94	117	79	79	142	30	184	181	127	183	167	140	284	98	332	140	413	307	180	418	227	295	576	412	419	911	1024	994	0	0	0
LFQ	94	1	0	1	20	55	39	42	26	58	32	65	51	38	58	61	68	62	94	128	59	101	127	35	204	144	133	209	170	180	285	99	326	116	459	268	180	422	192	298	557	436	419	855	1063	968	0	0	0
LFQ	95	0	0	3	19	39	32	39	28	46	33	40	51	39	44	69	48	61	112	129	72	80	167	44	188	160	140	217	143	142	253	104	297	145	420	326	163	483	218	287	541	402	427	934	1027	992	0	0	0
LFQ	96	0	0	1	29	42	37	35	29	48	28	69	63	55	46	58	63	68	83	128	89	87	141	45	190	146	134	243	120	178	262	128	331	121	430	336	155	451	188	278	550	417	394	874	1027	1007	0	0	0
LFQ	97	0	0	0	19	36	48	40	35	55	30	59	70	45	39	73	52	66	89	109	89	83	158	41	188	187	122	225	151	176	285	116	311	130	402	348	151	420	205	289	576	425	413	907	985	956	0	0	0
LFQ	98	0	0	1	26	34	30	27	24	34	31	57	58	50	47	63	58	67	88	100	81	93	156	35	162	164	163	257	149	158	276	116	318	163	385	312	165	495	204	258	585	370	423	940	956	1025	0	0	0
LFQ	99	0	0	1	38	47	31	43	37	55	24	59	54	55	46	73	59	78	88	119	105	79	136	42	186	178	135	225	132	148	289	118	349	149	340	314	128	517	181	245	621	362	447	938	951	982	0	0	0
LFQ	100	1	0	1	29	33	34	43	33	45	32	67	55	44	47	65	64	62	81	117	87	82	136	46	182	176	148	244	145	171	300	128	333	155	430	308	139	473	190	243	550	386	410	902	955	1032	0	0	0
LFQ	101	0	0	1	23	43	39	41	33	52	27	44	72	57	45	88	57	61	110	118	93	73	137	35	166	181	153	263	133	154	249	118	327	186	380	327	150	541	167	248	578	364	396	961	933	980	0	0	0
LFQ	102	0	0	2	25	58	39	30	30	63	28	49	61	38	32	65	65	72	119	128	105	74	118	45	208	196	157	280	130	164	240	129	350	163	338	336	131	481	161	280	624	328	433	982	889	958	0	0	0
LFQ	103	3	0	0	25	47	44	46	39	59	24	56	61	43	58	56	53	72	88	139	93	88	126	34	200	194	181	236	136	164	247	154	350	239	344	329	117	548	148	275	626	332	413	930	880	907	0	0	0
LFQ	104	0	0	1	23	43	32	34	38	55	31	65	70	50	39	64	67	98	84	126	94	85	114	42	189	170	174	283	122	148	257	172	338	183	334	289	151	514	141	272	715	339	383	913	854	1008	0	0	0
LFQ	105	0	0	3	22	37	38	35	46	47	35	62	65	42	54	62	70	67	99	133	119	84	127	43	191	196	179	256	151	162	229	176	331	198	307	339	131	549	133	260	716	325	369	917	845	954	0	0	0
LFQ	106	0	0	2	25	37	41	31	40	43	27	49	64	55	51	65	75	83	97	142	113	80	141	37	168	175	188	264	125	135	245	172	350	231	280	294	126	578	151	248	689	307	390	972	829	989	0	0	0
LFQ	107	0	0	2	19	47	42	31	49	38	31	49	62	49	34	69	67	61	98	142	127	91	117	46	203	144	203	261	136	117	256	199	313	243	274	281	164	679	144	242	697	290	363	934	829	961	0	0	0
LFQ	108	0	0	1	26	42	27	50	38	40	31	60	61	46	59	66	69	73	100	137	99	73	105	46	182	159	202	257	134	131	265	217	315	279	238	245	154	626	125	279	780	283	340	1012	707	1025	0	0	0
LFQ	109	0	0	3	24	48	41	36	43	54	31	57	65	63	44	48	80	84	92	156	116	96	117	50	200	180	199	282	124	108	255	200	317	278	244	240	132	664	122	220	787	279	360	979	688	998	0	0	0
LFQ	110	0	0	3	32	45	39	39	50	47	32	54	65	54	48	64	65	79	107	138	116	84	117	51	167	164	228	269	130	109	264	227	299	307	192	232	136	736	100	220	806	273	345	995	662	1014	0	0	0
LFQ	111	2	0	1	21	35	41	35	41	48	30	68	92	55	33	52	71	88	85	162	114	109	99	45	190	162	256	280	139	99	284	235	306	313	213	206	165	711	126	199	824	225	309	1025	633	977	0	0	0
LFQ	112	0	0	0	30	58	35	47	56	51	31	49	64	53	50	52	58	86	88	147	119	80	92	46	195	180	276	254	132	83	295	220	308	343	193	229	131	715	110	228	817	229	316	1069	614	975	0	0	0
LFQ	113	0	0	3	26	52	48	36	45	48	35	69	65	47	41	62	77	86	89	155	116	85	103	49	206	188	279	226	144	87	316	236	314	307	201	199	152	745	94	229	825	208	365	978	594	974	0	0	0
LFQ	114	0	0	2	36	59	40	41	41	37	37	65	72	54	34	59	56	100	97	151	106	83	115	43	176	157	339	196	137	102	302	238	292	294	215	177	153	748	90	229	848	204	431	938	570	1040	0	0	0
LFQ	115	0	0	1	33	56	38	45	35	42	32	70	80	43	34	54	74	92	95	146	120	88	113	44	170	159	339	160	142	97	291	243	295	276	225	203	171	743	107	263	801	236	405	947	580	1016	0	0	0
LFQ	116	0	0	0	30	54	50	41	34	40	33	51	62	45	39	53	77	95	80	148	109	86	113	55	188	183	354	159	141	115	305	247	307	276	172	191	167	741	102	240	764	249	445	944	602	1017	0	0	0
LFQ	117	0	0	1	41	45	41	33	42	62	34	64	83	50	48	62	70	110	72	141	106	85	84	54	176	190	383	123	132	124	292	263	319	255	223	201	164	740	110	218	750	239	495	897	585	997	0	0	0
LFQ	118	0	0	1	28	51	50	51	48	58	38	66	75	58	49	46	69	125	80	169	113	84	107	58	166	176	377	128	141	137	254	240	294	237	198	189	186	739	111	230	792	248	463	868	575	1031	0	0	0
LFQ	119	0	0	1	36	50	38	48	35	47	38	59	87	56	48	60	74	126	63	171	96	107	124	60	156	186	390	79	140	128	299	250	306	269	214	197	191	756	96	246	729	232	492	841	566	1017	0	0	0
LFQ	120	0	0	3	32	64	52	52	53	51	37	66	75	50	41	54	92	110	65	170	89	85	112	54	178	175	399	93	134	108	274	254	325	265	228	179	201	740	122	242	719	218	496	872	574	1001	0	0	0
LFQ	121	0	0	2	41	37	50	34	56	53	31	48	74	53	45	54	84	121	86	159	102	101	106	71	152	161	437	70	149	141	284	270	302	242	218	197	202	699	123	242	699	240	540	858	547	1023	0	0	0
LFQ	122	0	0	1	32	57	44	40	42	35	44	76	72	60	64	60	97	107	75	169	99	91	126	67	137	202	420	67	127	125	273	269	330	236	234	170	183	723	114	304	697	210	520	812	596	997	0	0	0
LFQ	123	0	0	2	34	47	53	41	48	50	45	62	77	59	45	51	95	110	75	183	90	97	112	103	132	216	381	72	157	165	282	268	287	231	238	158	209	717	94	305	639	249	547	826	565	987	0	0	0
