chrom	length	bases	mean	min	max
chr14_KI270723v1_random	38115	1898340	49.80559	3	115
chr14_KI270724v1_random	39555	2142111	54.15525	13	132
chr14_KI270725v1_random	172810	4210504	24.36493	0	96
chr14_KI270726v1_random	43739	178480	4.08057	0	28
chr15_KI270727v1_random	448248	6248889	13.94070	0	50
chr16_KI270728v1_random	1872759	24865337	13.27738	0	108
chr17_GL000205v2_random	185591	15317333	82.53274	0	159
chr17_KI270729v1_random	280839	15454290	55.02900	0	1392
chr17_KI270730v1_random	112551	5608725	49.83274	0	230
chr22_KI270731v1_random	150754	2064701	13.69583	0	52
chr22_KI270732v1_random	41543	3313242	79.75452	6	139
chr22_KI270733v1_random	179772	7434866	41.35720	0	158
chr22_KI270734v1_random	165050	7754182	46.98081	0	2077
chr22_KI270735v1_random	42811	3441281	80.38310	15	129
chr22_KI270736v1_random	181920	18999306	104.43770	0	425
chr22_KI270737v1_random	103838	1950471	18.78379	0	49
chr22_KI270738v1_random	99375	3444336	34.65998	0	101
chr22_KI270739v1_random	73985	380772	5.14661	0	15
chrUn_KI270304v1	2165	137	0.06328	0	1
chrUn_KI270322v1	21476	824	0.03837	0	1
chrUn_KI270320v1	4416	14389	3.25838	1	5
chrUn_KI270310v1	1201	15566	12.96087	6	19
chrUn_KI270316v1	1444	4089	2.83172	0	5
chrUn_KI270315v1	2276	2325	1.02153	0	2
chrUn_KI270312v1	998	4638	4.64729	0	6
chrUn_KI270311v1	12399	6688	0.53940	0	5
chrUn_KI270317v1	37690	6219	0.16500	0	4
chrUn_KI270412v1	1179	1177	0.99830	0	1
chrUn_KI270411v1	2646	34457	13.02230	0	21
chrUn_KI270414v1	2489	781	0.31378	0	1
chrUn_KI270419v1	1029	901	0.87561	0	2
chrUn_KI270418v1	2145	1777	0.82844	0	2
chrUn_KI270420v1	2321	2003	0.86299	0	1
chrUn_KI270417v1	2043	2324	1.13754	0	2
chrUn_KI270422v1	1445	1633	1.13010	0	2
chrUn_KI270423v1	981	1962	2.00000	0	3
chrUn_KI270429v1	1361	449	0.32990	0	2
chrUn_KI270442v1	392061	24067403	61.38688	0	191
chrUn_KI270466v1	1233	277408	224.98621	64	342
chrUn_KI270465v1	1774	13685	7.71421	1	10
chrUn_KI270467v1	3920	83498077	21300.52985	17	28736
chrUn_KI270435v1	92983	4061137	43.67612	21	156
chrUn_KI270438v1	112505	70885480	630.06515	0	5910
chrUn_KI270468v1	4055	101761	25.09519	14	27
chrUn_KI270510v1	2415	37309	15.44886	14	17
chrUn_KI270509v1	2318	2533	1.09275	0	2
chrUn_KI270518v1	2186	20378	9.32205	1	14
chrUn_KI270508v1	1951	5280	2.70630	1	5
chrUn_KI270516v1	1300	11475	8.82692	2	15
chrUn_KI270512v1	22689	750691	33.08612	0	51
chrUn_KI270519v1	138126	6903426	49.97919	0	179
chrUn_KI270522v1	5674	153814	27.10857	0	32
chrUn_KI270511v1	8127	301543	37.10385	0	43
chrUn_KI270515v1	6361	298370	46.90615	33	59
chrUn_KI270507v1	5353	123194	23.01401	16	26
chrUn_KI270517v1	3253	58578	18.00738	10	19
chrUn_KI270529v1	1899	7157	3.76883	2	7
chrUn_KI270528v1	2983	17156	5.75126	1	14
chrUn_KI270530v1	2168	7684	3.54428	2	6
chrUn_KI270538v1	91309	9518896	104.24926	0	884
chrUn_KI270544v1	1202	803	0.66805	0	2
chrUn_KI270587v1	2969	88610	29.84507	9	45
chrUn_KI270579v1	31033	331322	10.67644	0	24
chrUn_KI270589v1	44474	934450	21.01115	0	162
chrUn_KI270590v1	4685	303832	64.85208	0	75
chrUn_KI270584v1	4513	70823	15.69311	6	25
chrUn_KI270582v1	6504	3481	0.53521	0	1
chrUn_KI270588v1	6158	51878	8.42449	0	17
chrUn_KI270593v1	3041	8937	2.93884	1	4
chrUn_KI270591v1	5796	260724	44.98344	22	63
chrUn_KI270330v1	1652	3843	2.32627	0	7
chrUn_KI270334v1	1368	2571	1.87939	0	4
chrUn_KI270333v1	2699	17072970	6325.66506	168	6975
chrUn_KI270335v1	1048	1190	1.13550	0	5
chrUn_KI270338v1	1428	1428	1.00000	1	1
chrUn_KI270340v1	1428	725	0.50770	0	1
chrUn_KI270336v1	1026	90495	88.20175	21	128
chrUn_KI270337v1	1121	260950	232.78323	15	341
chrUn_KI270366v1	8320	11330	1.36178	0	2
chrUn_KI270390v1	2387	8584	3.59615	1	6
chrUn_KI270387v1	1537	793	0.51594	0	1
chrUn_KI270395v1	1143	2122	1.85652	0	4
chrUn_KI270396v1	1880	599	0.31862	0	1
chrUn_KI270394v1	970	587	0.60515	0	1
chrUn_KI270386v1	1788	635	0.35515	0	1
chrUn_KI270391v1	1484	20062	13.51887	8	18
chrUn_KI270393v1	1308	2139	1.63532	0	3
chrUn_KI270385v1	990	1508	1.52323	0	2
chrUn_KI270448v1	7992	196205	24.55018	9	36
chrUn_KI270521v1	7642	185107	24.22232	10	34
chrUn_GL000195v1	182896	10582773	57.86224	1	114
chrUn_GL000219v1	179198	12526995	69.90589	10	173
chrUn_GL000220v1	161802	12003598	74.18696	1	315
chrUn_GL000224v1	179693	24609740	136.95436	1	1270
chrUn_KI270741v1	157432	2939475	18.67139	0	56
chrUn_GL000226v1	15008	8287802	552.22561	80	779
chrUn_GL000213v1	164239	2682654	16.33384	0	33
chrUn_KI270743v1	210658	6031211	28.63034	0	97
chrUn_KI270744v1	168472	11814847	70.12944	1	291
chrUn_KI270745v1	41891	338031	8.06930	0	18
chrUn_KI270746v1	66486	6023433	90.59701	1	184
chrUn_KI270747v1	198735	6902656	34.73297	0	229
chrUn_KI270748v1	93321	1869332	20.03120	1	35
chrUn_KI270749v1	158759	5499903	34.64309	3	58
chrUn_KI270750v1	148850	6445026	43.29880	0	89
chrUn_KI270751v1	150742	12325281	81.76408	0	188
chrUn_KI270753v1	62944	1218097	19.35207	0	41
chrUn_KI270754v1	40191	2369025	58.94417	1	122
chrUn_KI270755v1	36723	1007121	27.42480	2	45
chrUn_KI270756v1	79590	2632227	33.07233	0	104
chrUn_KI270757v1	71251	6608363	92.74765	0	291
chrUn_GL000214v1	137718	10305836	74.83289	1	389
chrUn_KI270742v1	186739	14068272	75.33655	0	226
chrUn_GL000216v2	176608	30197557	170.98635	6	1027
chrUn_GL000218v1	161147	8864875	55.01111	2	138
total	3099626995	86474305390	27.89829	0	28736
