chrom	length	bases	mean	min	max
chrUn_KI270448v1	7992	175690	21.98323	9	28
chrUn_KI270521v1	7642	68662	8.98482	5	12
chrUn_GL000195v1	182896	8827098	48.26294	0	107
chrUn_GL000219v1	179198	3953496	22.06217	1	141
chrUn_GL000220v1	161802	26097169	161.29077	0	1093
chrUn_GL000224v1	179693	25509943	141.96403	0	1748
chrUn_KI270741v1	157432	633328	4.02287	0	20
chrUn_GL000226v1	15008	6926396	461.51359	90	607
chrUn_GL000213v1	164239	2607962	15.87907	0	39
chrUn_KI270743v1	210658	5394623	25.60844	0	71
chrUn_KI270744v1	168472	7333595	43.53005	0	430
chrUn_KI270745v1	41891	129521	3.09186	0	6
chrUn_KI270746v1	66486	3540296	53.24874	3	104
chrUn_KI270747v1	198735	4460783	22.44589	0	80
chrUn_KI270748v1	93321	1892859	20.28331	1	42
chrUn_KI270749v1	158759	5586103	35.18606	2	59
chrUn_KI270750v1	148850	2916431	19.59309	0	39
chrUn_KI270751v1	150742	10601037	70.32570	0	170
chrUn_KI270753v1	62944	670551	10.65314	0	24
chrUn_KI270754v1	40191	2079006	51.72815	1	109
chrUn_KI270755v1	36723	185985	5.06454	0	12
chrUn_KI270756v1	79590	1340824	16.84664	0	60
chrUn_KI270757v1	71251	4730105	66.38651	0	177
chrUn_GL000214v1	137718	12093020	87.81002	0	489
chrUn_KI270742v1	186739	12385117	66.32314	0	158
chrUn_GL000216v2	176608	33247513	188.25599	3	1404
chrUn_GL000218v1	161147	10767357	66.81699	2	107
total	3099546800	74572838341	24.05927	0	55054
